Não estou abrindo o plus em nenhum pc,PROBLEMA,1
Vendas do dia,OUTROS,1
Tá certo,CONFIRMACAO,1
Estou reiniciado e mando já,OUTROS,1
Abre o cx 8,OUTROS,1
Esse é o que vejo se foi pra receita?,DUVIDA,1
Eduardo aqui,OUTROS,1
Boa tarde,SAUDACAO,1
Não tô conseguindo abrir o caixa nos outros computadores,PROBLEMA,1
Esta usuário esta aberto em outro caixa,OUTROS,1
No da impressora abre normal,INFORMACAO,1
Mas nos outros computadores não abre,INFORMACAO,1
Nenhum,OUTROS,1
Nenhuma,OUTROS,1
Nessa que esta mexendo,OUTROS,1
É,CONFIRMACAO,1
Sim,CONFIRMACAO,1
Esta abrindo todos,INFORMACAO,1
E nem o 3,OUTROS,1
Nessa maquina não abre nenhum caixa,INFORMACAO,1
La tá tufo fechado,INFORMACAO,1
Fechei pra ver se  era isso,INFORMACAO,1
Tá bom,CONFIRMACAO,1
Pronto,CONFIRMACAO,1
Só isso mesmo,CONFIRMACAO,1
Obrigado,AGRADECIMENTO,1
Já disse aqui pra ela,INFORMACAO,1
Maylana falo já com vc...Eduardo que é agoniado...deixa ele sair do escritorio,INFORMACAO,1
ok,CONFIRMACAO,2
Bom dia,SAUDACAO,3
Com quem falo?.,DUVIDA,3
Sim,CONFIRMACAO,3
Nao,NEGACAO,3
Já está conectada,INFORMACAO,3
Perdao,OUTROS,3
Argox-214 plus,INFORMACAO,3
Apenas 214,OUTROS,3
Sim,CONFIRMACAO,3
ok,CONFIRMACAO,3
Sim,CONFIRMACAO,3
Novamente ?.,DUVIDA,3
Já fiz isso.,INFORMACAO,3
ok,CONFIRMACAO,3
👍🏽,OUTROS,3
Certo..,CONFIRMACAO,3
Oi,SAUDACAO,3
No momento não estou na empresa,INFORMACAO,3
Estou no centro,INFORMACAO,3
Pode deixar.,CONFIRMACAO,3
Já estou no comércio.,INFORMACAO,3
E agora,DUVIDA,3
O que faço ?.,DUVIDA,3
Mas essa impressora só é usada aqui,INFORMACAO,3
É problema no cabo?.,DUVIDA,3
Ou então a questão da agilização que ficou incompatível,OUTROS,3
Posso acessar ao computador,DUVIDA,3
Obrigada,AGRADECIMENTO,3
Boa tarde,SAUDACAO,3
Certo. Vou só lançar mais umas notas e aviso a você,INFORMACAO,3
Pode ser?.,DUVIDA,3
Sim,CONFIRMACAO,4
Tv de todos?,DUVIDA,4
Boa tarde,SAUDACAO,4
ok,CONFIRMACAO,4
ok,CONFIRMACAO,4
Oi,SAUDACAO,4
Ainda vai atualizar lá?,DUVIDA,4
Só um minuto,OUTROS,4
Obrigado,AGRADECIMENTO,4
Bom dia!,SAUDACAO,5
Estou precisando de uma nfe,INFORMACAO,5
É urgente,OUTROS,5
Estou esperando mas o cliente tem pressa,OUTROS,5
Eita chamado demorado 🤔,OUTROS,5
Da impressora?,DUVIDA,5
Pode ser só uma copia também,INFORMACAO,5
Mas se der para tirar pela impressora fiscal,  com demais,OUTROS,5
Então posso fazer outra? Tenho ela discriminada em um bloco,DUVIDA,5
Mas foi lion?,DUVIDA,5
Estou no cx,OUTROS,5
Da impressora,OUTROS,5
Vou lá,OUTROS,5
Cancela,OUTROS,5
Tudo bem,CONFIRMACAO,5
Foi ele que só veio hoje,OUTROS,5
Posso fazer outra então,OUTROS,5
Que eu lembre agora nao🙈,NEGACAO,5
Masnsempre lembro de algo depois,OUTROS,5
Veja só com o Gabriel o que pedi,OUTROS,5
Ele sabe,OUTROS,5
Obrigado,AGRADECIMENTO,5
😘,OUTROS,5
Boa tarde,SAUDACAO,7
Bom dia,SAUDACAO,7
Bom dia Mayllana,,7
Queria cadastrar alguns códigos,INFORMACAO,7
Dos frios,OUTROS,7
Ok.,CONFIRMACAO,7
Tudo bem..rs.  Irei aguardar então.,CONFIRMACAO,7
Obrigada!.,AGRADECIMENTO,7
Boa tarde,SAUDACAO,8
Combinado 👍,CONFIRMACAO,8
Bom dia qual o arquivo. deve enviar hojr,DUVIDA,10
senha veja 3557,OUTROS,10
poor favor envie proximo pra mim,OUTROS,10
ok,CONFIRMACAO,10
não. deu certo,NEGACAO,10
nao aparece mensagem,PROBLEMA,10
nao abre,PROBLEMA,10
mas esse. e perido que voce falou,OUTROS,10
qual seria o período?,DUVIDA,10
o ultimo foi 23 a 28,OUTROS,10
corrija que nao estou entendo,PROBLEMA,10
envie o proximo por favor,OUTROS,10
posso começar?,DUVIDA,10
Obrigada,AGRADECIMENTO,10
amanha gero outro e envio?,DUVIDA,10
ok,CONFIRMACAO,10
Boa tarde. Estou com problemas em três caixas. Incluindo o computador "mãe",PROBLEMA,11
Eles estão dando falha. E o programa para de funcionar.,PROBLEMA,11
Estou aguardando,CONFIRMACAO,11
Por favor,OUTROS,11
Estou com o comércio cheio de clientes.,OUTROS,11
Usando um caixa com prevenda.,OUTROS,11
Tava passando venda manualmente. Por isso não atendi.,OUTROS,11
ok,CONFIRMACAO,11
ok,CONFIRMACAO,11
Ok. Vou passar uma venda,CONFIRMACAO,11
Veja o outro agora,OUTROS,11
Só um momento,OUTROS,11
Vou lhe passar o outro.,OUTROS,11
Este aí foi reiniciado deu certo,CONFIRMACAO,11
Mas por garantia quero que  vocês revisem ele,INFORMACAO,11
Pois amanhã será bastante corrido.,OUTROS,11
E vocês estavam atendendo até o meio dia.,OUTROS,11
Sim. Este como havia dito. Pedi apenas para revisarem para verificar se estava com algo errado. Pois havíamos reiniciado. ,OUTROS,11
Estava com o mesmo problema dos outros,PROBLEMA,11
Certo.,CONFIRMACAO,11
