Boa tarde	Saudação	201
Sim so uns instat	Outros	201
Maylane posso usar o computador	Dúvida	201
ok	Outros	201
Ver Tbm o sistema do sngpc	Outros	201
Agente não conseguido acessar o arquivo pra fazer a transmissão	Problema	201
Sim	Outros	201
Vc falar so cupom fiscal	Outros	201
Qualquer dúvida me avise	Outros	201
O comprovante de farmácia popular	Outros	201
Saiu diferente o comprovante	Dúvida	201
Qro saber se. Agora é assim msm	Dúvida	201
Bom dia	Saudação	202
O sistema de farmácia popular está fora do ar?	Dúvida	202
Sabe me informar?	Dúvida	202
Aqui não tá funcionando	Problema	202
Fibra	Outros	202
Agente tem da oi Tbm, mas ela não tá configurada nesse computador	Outros	202
Nova WiFi	Outros	202
servidor	Outros	202
nas oq pode ser.	Dúvida	202
Esse bloqueio	Outros	202
Tenho	Outros	202
O Vinicius falou que pra coloca essa maquina Tbm com cupom fiscal.	Outros	202
Pq as vzs um computador não dar atender	Problema	202
O pessoal farmácia popular	Outros	202
E demais	Outros	202
Pra colocar igual o outro computador	Outros	202
Ver aí se a Internet é da oi	Dúvida	202
Realmente	Outros	202
Perai	Outros	202
mas pq tiraro	Dúvida	202
Se já tinha	Dúvida	202
Pq táva funcionando	Outros	202
Com o nfce	Outros	202
Mas era nfce fiscal	Outros	202
Aí alguém mexeu e tirou	Problema	202
E ficou so no servidor	Problema	202
Mas era nos dois	Outros	202
Ata	Outros	202
Desculpa	Outros	202
Seguinte falei com o Vinicius ele falou que pagou pra usar as duas maquinas com ncfe	Outros	202
Já tentei fala com ele	Outros	202
Mas não tô conseguindo	Problema	202
Pós veja se consegue colocar o nfce fiscal logo	Outros	202
Vou trocar aqui o roteador pro MSm do servidor	Outros	202
Troquei o cabo	Outros	202
tá no mesmo roteador	Outros	202
já funcionando nfce?	Dúvida	202
Travado pra mim aqui	Problema	202
Ainda tá do msm jeito ainda	Outros	202
Pra impressão fiscal	Outros	202
No servidor deu certo, a venda da popular	Outros	202
Ele vão fica como outro	Outros	202
Alternativo e fiscal	Outros	202
pode. Fica com a opcao nota fiscal	Outros	202
Parece tá	Outros	202
Obrigado	Outros	202
Bom dia	Saudação	202
Bom dia	Saudação	203
o sistema da farmácia popular tá fora do ar	Problema	203
REINALDO MANDA AI A LISTA	Outros	203
MAS ELA NAO FALA	Outros	203
OS MEDICAMENTOS QUE SAIRAM DO PROGRAMA	Outros	203
TA BOM	Outros	203
Chamada de voz perdida	Outros	203
Quero que você configure o meu sistema	Outros	203
agente teve que trocar o roteador aí devido isso o id alterou	Problema	203
A Internet tá muito fraca	Outros	203
Tenta de novo	Outros	203
